x,a_0,a_25,a_50,a_75,a_100
0,0,0,0,0,0
0,0,12.4998,24.9996,37.4994,49.9991
0.0526316,0.102655,12.2904,24.4781,36.6659,48.8536
0.105263,0.236379,11.6064,22.9764,34.3464,45.7164
0.157895,0.410577,10.5389,20.6672,30.7955,40.9238
0.210526,0.637499,9.49529,18.3531,27.2109,36.0687
0.263158,0.933101,8.24081,15.5485,22.8562,30.1639
0.315789,1.31817,7.09221,12.8663,18.6403,24.4143
0.368421,1.81978,6.14795,10.4761,14.8043,19.1324
0.421053,2.47322,5.53421,8.59519,11.6562,14.7172
0.473684,3.32442,5.43609,7.54776,9.65943,11.7711
0.526316,4.43326,5.81694,7.20062,8.5843,9.96799
0.578947,5.87769,6.76095,7.6442,8.52746,9.41071
0.631579,7.7593,8.27989,8.80048,9.32106,9.84165
0.684211,10.2104,10.4778,10.7453,11.0127,11.2801
0.736842,13.4034,13.538,13.6725,13.8071,13.9417
0.789474,17.5627,17.6184,17.6742,17.7299,17.7856
0.842105,22.9809,23.0079,23.0348,23.0617,23.0886
0.894737,30.039,30.0432,30.0473,30.0515,30.0556
0.947368,39.2334,39.2334,39.2334,39.2334,39.2334
1,51.2105,51.2105,51.2105,51.2105,51.2105
