x,f_50,f_40,f_30,f_20,f_10,f_5,f_2
0,0,0,0,0,0,0,0
0.05,-0.0461284,-0.0469,-0.0476731,-0.0484476,-0.0492236,-0.0496121,-0.0498454
0.1,-0.0920343,-0.0936185,-0.0952073,-0.0967985,-0.0983965,-0.0991983,-0.0996803
0.15,-0.137484,-0.139955,-0.142443,-0.144944,-0.147464,-0.148731,-0.149494
0.2,-0.182349,-0.185807,-0.1893,-0.192826,-0.196393,-0.198193,-0.199278
0.25,-0.226594,-0.230961,-0.235601,-0.240315,-0.245114,-0.247548,-0.24902
0.3,-0.270083,-0.275301,-0.281122,-0.287243,-0.293532,-0.296747,-0.298698
0.35,-0.312581,-0.318805,-0.325681,-0.333445,-0.341554,-0.345737,-0.34829
0.4,-0.353778,-0.361161,-0.36928,-0.378545,-0.38893,-0.394375,-0.397735
0.45,-0.393157,-0.401825,-0.411515,-0.422502,-0.435462,-0.442558,-0.446987
0.5,-0.431022,-0.440816,-0.451984,-0.465,-0.480542,-0.489866,-0.495843
0.55,-0.466642,-0.47763,-0.490143,-0.505091,-0.524141,-0.536081,-0.54423
0.6,-0.499233,-0.511645,-0.526077,-0.543327,-0.565836,-0.580471,-0.591595
0.65,-0.529505,-0.543329,-0.559331,-0.57863,-0.604577,-0.622976,-0.637689
0.7,-0.557092,-0.571876,-0.588892,-0.610623,-0.640939,-0.662717,-0.681504
0.75,-0.58115,-0.59634,-0.615504,-0.639715,-0.673576,-0.698062,-0.72231
0.8,-0.601248,-0.618218,-0.639148,-0.665184,-0.700851,-0.730388,-0.759877
0.85,-0.619645,-0.63745,-0.659139,-0.685795,-0.725051,-0.758596,-0.791139
0.9,-0.636157,-0.654498,-0.676335,-0.702677,-0.745425,-0.780953,-0.818599
0.95,-0.650624,-0.669038,-0.690311,-0.717657,-0.762664,-0.796943,-0.843981
1,-0.663074,-0.681088,-0.701417,-0.730867,-0.776441,-0.81157,-0.866981
