x-pos1,y-stress1,x-stress1,x-pos2,y-stress2,x-stress2
4.46,-3.08512,-0.968994,4.61061,95.3343,-15.3019
4.46083,-2.93028,-0.030918,4.61061,95.3343,-15.3019
4.46949,-2.93028,-0.030918,4.61348,95.3343,-15.3019
4.49412,-2.81209,-0.865416,4.6388,94.7551,-14.8334
4.49604,-2.74438,-0.0482719,4.6388,94.7551,-14.8334
4.51328,-2.55848,-0.0656257,4.64863,94.1758,-14.3649
4.54531,-2.29746,-0.737587,4.68111,93.3696,-13.685
4.54865,-2.30103,-0.0862693,4.68111,93.3696,-13.685
4.57864,-2.04358,-0.106913,4.70142,92.5635,-13.0051
4.62208,-1.71521,-0.641611,4.74467,91.4819,-12.0332
4.62712,-1.69396,-0.127466,4.74467,91.4819,-12.0332
4.676,-1.34434,-0.148019,4.78074,90.4003,-11.0612
4.73725,-0.901173,-0.423063,4.84018,89.0257,-9.69996
4.7439,-0.874158,-0.159633,4.84018,89.0257,-9.69996
4.82064,-0.403971,-0.171247,4.9,87.6512,-8.33872
4.91,0.103546,-0.079347,4.98384,86.3136,-6.83502
4.91721,0.113905,-0.163254,4.98384,86.3136,-6.83502
4.99249,0.63178,-0.15526,5.04348,84.976,-5.33131
5.08275,1.0426,0.264931,5.12793,84.0736,-4.17307
5.08854,1.04554,-0.133537,5.12793,84.0736,-4.17307
5.13438,1.45929,-0.111814,5.16334,83.1713,-3.01483
5.19791,1.71226,0.495664,5.22421,82.6634,-2.28634
5.20179,1.73163,-0.0898885,5.22421,82.6634,-2.28634
5.2283,2.00398,-0.0679629,5.2434,82.1554,-1.55785
5.27469,2.16334,0.637848,5.28849,81.8532,-1.08987
5.27689,2.18524,-0.0503408,5.28849,81.8532,-1.08987
5.29063,2.3665,-0.0327187,5.29684,81.551,-0.621888
5.32588,2.60268,0.841089,5.33139,81.3643,-0.317306
5.3268,2.48749,-0.0197032,5.33139,81.3643,-0.317306
5.33207,2.60847,-0.00668772,5.3325,81.1777,-0.0127236
5.36,2.85286,0.985493,5.36,81.1777,-0.0127227
5.36,2.60847,-0.00668772,5.36,81.1777,-0.0127236
