x,N1,N4,N21
0,0,0,0
0.1,0.0257664,0.0257664,0
0.6,0.0654077,0.0654077,0
3,0.146624,0.146624,0
6.92,0.22728,0.227281,0
12.056,0.303757,0.303733,0
18.1648,0.375984,0.375684,0
25.0518,0.444316,0.442953,0
32.5615,0.509149,0.50521,0
40.5692,0.570857,0.562133,0
48.9753,0.629767,0.613553,0
57.7003,0.686131,0.659485,0
66.6802,0.740122,0.700104,0
75.8642,0.79184,0.735704,0
85.2113,0.84132,0.766646,0
94.6891,0.888556,0.793328,0
104.271,0.933517,0.816155,0
113.937,0.976163,0.835531,0
123.67,1.01643,0.851822,0
133.456,1.05427,0.865375,0
143.285,1.08963,0.876506,0
153.148,1.12247,0.885499,0
163.038,1.15276,0.892606,0
172.95,1.18045,0.898047,0
182.88,1.20554,0.902014,0
192.824,1.22801,0.904673,0
200,1.24293,0.905972,0
211.964,0.91625,0.568754,0
225.535,0.762893,0.423267,0
240.392,0.644665,0.329983,0
256.278,0.544923,0.265319,0
272.987,0.458646,0.217557,0
290.353,0.384142,0.180482,0
308.247,0.320352,0.150626,0
326.562,0.266217,0.125992,0
345.213,0.220614,0.105382,0
364.135,0.182422,0.0880278,0
383.272,0.150582,0.0733895,0
400,0.127112,0.0624669,0
435.448,0.0913963,0.0454626,0
483.806,0.0596399,0.0300183,0
542.493,0.0362422,0.0184201,0
609.442,0.0208766,0.0106865,0
683.001,0.0115443,0.00593774,0
761.849,0.0061856,0.00319109,0
844.927,0.00323398,0.00167136,0
931.389,0.00165861,0.000858064,0
1000,0.000945787,0.000489546,0
1091.34,0.000472114,0.000244447,0
1184.4,0.000233451,0.000120895,0
1200,0.000199308,0.000103218,0
