x,N1,N4,N21
0,0,3.33E-16,-2.84E-14
0.1,0,3.33E-16,-0.0108134
0.6,0,3.33E-16,-0.0299871
3,0,3.33E-16,-0.0682733
6.92,0,-3.77E-06,-0.104168
12.056,-7.36E-08,-6.63E-05,-0.136179
18.1648,-7.36E-08,-0.000371945,-0.16451
25.0518,1.33E-06,-0.00122573,-0.189653
32.5615,4.79E-06,-0.00295867,-0.212097
40.5692,2.65E-06,-0.00583732,-0.232211
48.9753,-2.90E-05,-0.0100214,-0.250342
57.7003,-0.0001347,-0.0155649,-0.266757
66.6802,-0.000376998,-0.0224359,-0.281699
75.8642,-0.000832062,-0.0305416,-0.295374
85.2113,-0.00158245,-0.0397503,-0.307945
94.6891,-0.00271182,-0.0499094,-0.319536
104.271,-0.00430009,-0.0608598,-0.330288
113.937,-0.00642046,-0.0724428,-0.340283
123.67,-0.00913751,-0.08451,-0.349625
133.456,-0.0125062,-0.0969253,-0.358353
143.285,-0.0165715,-0.109567,-0.36655
153.148,-0.0213687,-0.12233,-0.374277
163.038,-0.0269231,-0.135123,-0.381574
172.95,-0.033251,-0.147873,-0.388483
182.88,-0.0403599,-0.160521,-0.395025
192.824,-0.0482486,-0.173019,-0.401259
200,-0.0543423,-0.181937,-0.405613
211.964,-0.0654978,-0.192611,-0.35077
225.535,-0.0790252,-0.199085,-0.32207
240.392,-0.0938925,-0.201999,-0.301629
256.278,-0.108861,-0.202773,-0.285358
272.987,-0.122945,-0.202506,-0.271887
290.353,-0.135574,-0.20186,-0.260543
308.247,-0.146539,-0.201176,-0.250915
326.562,-0.155859,-0.2006,-0.242718
345.213,-0.16367,-0.200172,-0.235747
364.135,-0.170159,-0.199884,-0.22984
383.272,-0.175518,-0.199709,-0.224852
400,-0.179436,-0.199623,-0.221112
435.448,-0.185323,-0.199588,-0.215327
483.806,-0.19049,-0.199644,-0.210094
542.493,-0.194254,-0.199742,-0.20619
609.442,-0.196703,-0.199834,-0.203573
683.001,-0.198182,-0.199902,-0.201979
761.849,-0.199027,-0.199945,-0.201059
844.927,-0.199492,-0.199971,-0.200548
931.389,-0.19974,-0.199985,-0.200282
1000,-0.199852,-0.199991,-0.200159
1091.34,-0.199926,-0.199996,-0.200078
1184.4,-0.199963,-0.199998,-0.200037
1200,-0.199969,-0.199998,-0.200037
