x,E1_1,E1_2,E1_3
0,0,0,0
0.1,0.0257664,0.00815944,0.00258144
0.6,0.0654077,0.0207483,0.00651879
3,0.146624,0.0466259,0.0124323
6.92,0.22728,0.0719041,0.0151074
12.056,0.303757,0.0943205,0.0158812
18.1648,0.375984,0.112757,0.0159951
25.0518,0.444323,0.126867,0.0159285
32.5615,0.509165,0.136963,0.0158151
40.5692,0.570848,0.143713,0.0156865
48.9753,0.629638,0.147879,0.0155501
57.7003,0.685718,0.150153,0.0154083
66.6802,0.739202,0.1511,0.0152622
75.8642,0.790151,0.151146,0.0151128
85.2113,0.838585,0.150593,0.0149606
94.6891,0.884502,0.14965,0.0148062
104.271,0.927887,0.148457,0.01465
113.937,0.968727,0.147103,0.0144924
123.67,1.007,0.145647,0.0143336
133.456,1.04267,0.144125,0.0141738
143.285,1.07576,0.142559,0.0140133
153.148,1.10623,0.140963,0.0138522
163.038,1.13411,0.139346,0.0136905
172.95,1.1594,0.137713,0.0135285
182.88,1.1821,0.136067,0.013366
192.824,1.20225,0.134411,0.0132033
200,1.21553,0.133209,0.0130858
211.964,0.886462,0.0475011,0.000755359
225.535,0.731574,0.0186438,4.67E-05
240.392,0.613731,0.00705212,2.69E-06
256.278,0.516276,0.00256642,1.46E-07
272.987,0.433426,0.00090491,7.52E-09
290.353,0.362696,0.000311195,3.75E-10
308.247,0.30251,0.000104936,1.81E-11
326.562,0.251563,3.48E-05,8.59E-13
345.213,0.208665,1.14E-05,4.00E-14
364.135,0.172714,3.71E-06,1.66E-15
383.272,0.142704,1.20E-06,2.78E-16
400,0.120556,4.22E-07,-1.14E-16
435.448,0.0867805,8.62E-08,5.79E-17
483.806,0.0566892,1.37E-08,-8.20E-17
542.493,0.0344795,1.83E-09,3.01E-17
609.442,0.0198739,2.19E-10,-2.19E-17
683.001,0.0109945,2.42E-11,1.37E-17
761.849,0.00589258,2.50E-12,-2.25E-17
844.927,0.00308126,2.47E-13,5.68E-17
931.389,0.00158043,2.33E-14,-2.39E-17
1000,0.000901246,2.84E-15,-3.59E-17
1091.34,0.000449893,4.35E-16,2.77E-17
1184.4,0.000222466,-1.35E-16,-2.73E-17
1200,0.000189931,-5.67E-16,1.45E-16
