x,E1_1,E1_2,E1_3
0,0,0,0
0.1,-0.0257664,-0.00815944,-0.00258143
0.6,-0.0654077,-0.0207483,-0.00656817
3,-0.146624,-0.0466499,-0.0149498
6.92,-0.22728,-0.072371,-0.0242868
12.056,-0.303757,-0.0967091,-0.0350591
18.1648,-0.375984,-0.119639,-0.0475193
25.0518,-0.44432,-0.141343,-0.0615692
32.5615,-0.509155,-0.162087,-0.0770017
40.5692,-0.570843,-0.182175,-0.0936169
48.9753,-0.629696,-0.201899,-0.111251
57.7003,-0.685987,-0.221516,-0.129775
66.6802,-0.739956,-0.241229,-0.149092
75.8642,-0.791816,-0.261189,-0.169129
85.2113,-0.841752,-0.281502,-0.189833
94.6891,-0.889933,-0.302238,-0.211168
104.271,-0.936506,-0.323447,-0.233109
113.937,-0.98161,-0.345164,-0.255644
123.67,-1.02536,-0.367415,-0.27877
133.456,-1.06785,-0.390224,-0.302491
143.285,-1.10919,-0.413613,-0.326817
153.148,-1.14946,-0.437605,-0.351765
163.038,-1.18874,-0.462227,-0.377356
172.95,-1.22712,-0.487508,-0.403617
182.88,-1.26466,-0.513478,-0.430576
192.824,-1.30143,-0.540174,-0.458267
200,-1.32768,-0.559889,-0.478706
211.964,-1.02264,-0.496641,-0.470258
225.535,-0.897467,-0.479838,-0.469864
240.392,-0.813054,-0.473563,-0.469841
256.278,-0.750161,-0.471188,-0.46984
272.987,-0.700739,-0.470315,-0.469839
290.353,-0.660807,-0.470003,-0.469839
308.247,-0.628041,-0.469895,-0.469839
326.562,-0.60093,-0.469858,-0.469839
345.213,-0.578408,-0.469846,-0.469839
364.135,-0.559673,-0.469841,-0.469839
383.272,-0.54409,-0.46984,-0.469839
400,-0.53261,-0.46984,-0.469839
435.448,-0.515065,-0.46984,-0.469839
483.806,-0.499421,-0.46984,-0.469839
542.493,-0.487858,-0.469839,-0.469839
609.442,-0.480239,-0.469839,-0.469839
683.001,-0.475598,-0.469839,-0.469839
761.849,-0.472928,-0.469839,-0.469839
844.927,-0.471455,-0.469839,-0.469839
931.389,-0.470668,-0.469839,-0.469839
1000,-0.470312,-0.469839,-0.469839
1091.34,-0.470076,-0.469839,-0.469839
1184.4,-0.469956,-0.469839,-0.469839
1200,-0.469939,-0.469839,-0.469839
